Region,Habitat,Station,Minute,Date,Start time,Start longitude,Start latitude,End time,End longitude,End latitude,TransectLength_m,AvWidth_m,SurveyArea_m,AvDepth_m,%LCF,%DCF,%CFW,%CR,%SEDIMENT,%SEDIMENT+CR,LEPNO,LEPWEIGHT,SYNNO,SYNWEIGHT,SIGNO,MORANO,MORAWEIGHT,CHIMNO,CHIMWEIGHT,HELINO,HELIWEIGHT,LOPHINO,LOPHIWEIGH,MOLVANO,MOLVAWEIGH,BROSMENO,BROSMEWEIG,HOPLONO,HOPLOWEIGH,PHYCISNO,PHYCISWEIG,PSEUDONO,RAJANO,ALLNO,ALLWEIGHT
Belgica Mound,PM,8,1-10,16/09/2010,11:52:00,-11.7084,51.4485,12:02:00,-11.7074,51.4499,272.44,2.925,743.3,798.82875,0,0,0,NA,NA,100,0,0,0,0,0,2,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.84
Belgica Mound,PM,8,11-20,16/09/2010,12:02:00,-11.7074,51.4499,12:12:00,-11.7046,51.4522,323.53,2.1,697.57,760.27575,0,0,0,NA,NA,70,3,0.29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.29
Belgica Mound,PM,8,21-30,16/09/2010,12:12:00,-11.7046,51.4522,12:22:00,-11.7024,51.454,261.05,1.97,501.68,708.5845,0,0,0,NA,NA,100,3,0.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.23
Belgica Mound,PM,8,31-40,16/09/2010,12:22:00,-11.7024,51.454,12:32:00,-11.7004,51.456,295.81,1.32,390.78,678.88275,0,8.3,8.3,NA,NA,91.5,3,0.46,0,0,1,1,0.74,0,0,0,0,2,28.01,0,0,0,0,0,0,0,0,0,0,7,29.21
Belgica Mound,PM,8,41-50,16/09/2010,12:32:00,-11.7004,51.456,12:42:00,-11.6982,51.4582,306.95,2.57,795.2,679.7945,0,0,0,NA,NA,100,4,0.44,0,0,0,0,0,1,0.46,2,0.5,1,6.47,0,0,0,0,0,0,1,1.29,0,0,9,9.14
Belgica Mound,PM,8,51-60,16/09/2010,12:42:00,-11.6982,51.4582,12:52:00,-11.6957,51.4606,327.26,2.55,836.05,685.6375,0,0,0,NA,NA,100,6,0.63,0,0,0,0,0,0,0,1,0.27,0,0,1,1.71,0,0,0,0,0,0,0,0,8,2.61
Belgica Mound,PM,8,61-70,16/09/2010,12:52:00,-11.6957,51.4606,13:02:00,-11.6931,51.4627,304.23,2.055,625.29,717.12025,0,0,0,NA,NA,100,8,1.18,0,0,1,0,0,0,0,2,0.36,0,0,0,0,0,0,0,0,0,0,0,0,11,1.54
Belgica Mound,PM,8,71-80,16/09/2010,13:02:00,-11.6931,51.4627,13:12:00,-11.6907,51.4649,299.08,2.29,678.47,768.314,0,0,0,NA,NA,90,5,0.61,0,0,2,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,8,0.74
Belgica Mound,PM,8,81-90,16/09/2010,13:12:00,-11.6907,51.4649,13:22:00,-11.6883,51.4672,309.49,1.37,423.74,768.26875,0,0,0,NA,NA,100,3,0.46,0,0,0,2,1.28,1,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.45
Belgica Mound,PM,8,91-100,16/09/2010,13:22:00,-11.6883,51.4672,13:32:00,-11.6857,51.4694,314.92,1.555,502.46,748.53275,0,0,0,NA,NA,100,2,0.09,0,0,1,2,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.03
Belgica Mound,PM,8,101-106,16/09/2010,13:32:00,-11.6857,51.4694,13:38:00,-11.6845,51.4706,160.58,2.165,348.04,739.9770833,0,0,0,NA,NA,60,3,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.27
Belgica Mound,PM,11,1-10,16/09/2010,17:47:00,-11.6851,51.4498,17:57:00,-11.6868,51.4506,247.68,3.472,717.69,712.693,0,0,0,NA,NA,90,0,0,2,0.02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.02
Belgica Mound,PM,11,11-20,16/09/2010,17:57:00,-11.6868,51.4506,18:07:00,-11.6901,51.4525,319.56,2.037,653.2,729.6335,0,0,0,NA,NA,100,7,1.14,0,0,0,2,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.32
Belgica Mound,PM,11,21-30,16/09/2010,18:07:00,-11.6901,51.4525,18:17:00,-11.6935,51.454,305.68,1.92,589.94,741.536,0,0,0,NA,NA,90,2,0.2,0,0,1,2,1.27,1,0.68,0,0,0,0,1,0.77,0,0,0,0,0,0,0,0,7,2.9
Belgica Mound,PM,11,31-40,16/09/2010,18:17:00,-11.6935,51.454,18:27:00,-11.6966,51.4553,289.9,3.249,936.79,730.5195,0,0,0,NA,NA,80,2,0.31,0,0,0,0,0,0,0,2,0.79,0,0,0,0,0,0,0,0,0,0,0,0,4,1.1
Belgica Mound,PM,11,41-50,16/09/2010,18:27:00,-11.6966,51.4553,18:37:00,-11.6999,51.4568,289.43,1.437,413.98,689.35,0,0,0,NA,NA,100,3,0.23,0,0,0,2,0.68,0,0,0,0,0,0,1,3.87,0,0,0,0,0,0,0,0,6,4.78
