Region,Habitat,Station,Minute,Date,Start time,Start longitude,Start latitude,End time,End longitude,End latitude,TransectLength_m,AvWidth_m,SurveyArea_m,AvDepth_m,%LCF,%DCF,%CFW,%SEDIMENT+CR,%SEDIMENT, %CR,LEPNO,LEPWEIGHT,SYNNO,SYNWEIGHT,SIGNO,MORANO,MORAWEIGHT,CHIMNO,CHIMWEIGHT,HELINO,HELIWEIGHT,LOPHINO,LOPHIWEIGH,MOLVANO,MOLVAWEIGH,BROSMENO,BROSMEWEIG,HOPLONO,HOPLOWEIGH,PHYCISNO,PHYCISWEIG,PSEUDONO,RAJANO,ALLNO,ALLWEIGHT
Belgica Mound,PM,8,1-5,16/09/2010,11:52:00,-11.7084,51.4485,11:57:00,-11.7079,51.4485,112.26,4.04,453.58,802.157,0,0,0,100,NA,NA,0,0,0,0,0,2,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.84
Belgica Mound,PM,8,6-10,16/09/2010,11:57:00,-11.7079,51.4485,12:02:00,-11.7074,51.4499,160.18,1.81,289.72,795.5005,0,0,0,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgica Mound,PM,8,11-15,16/09/2010,12:02:00,-11.7074,51.4499,12:07:00,-11.7061,51.4511,173.85,2.88,500.17,774.3405,0,0,0,80,NA,NA,2,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.23
Belgica Mound,PM,8,16-20,16/09/2010,12:07:00,-11.7061,51.4511,12:12:00,-11.7046,51.4522,149.68,1.32,197.4,746.211,0,0,0,60,NA,NA,1,0.06,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.06
Belgica Mound,PM,8,21-25,16/09/2010,12:12:00,-11.7046,51.4522,12:17:00,-11.7034,51.4532,144.37,1.51,217.57,721.505,0,0,0,100,NA,NA,1,0.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06
Belgica Mound,PM,8,26-30,16/09/2010,12:17:00,-11.7034,51.4532,12:22:00,-11.7024,51.454,116.68,2.43,284.11,695.664,0,0,0,100,NA,NA,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.17
Belgica Mound,PM,8,31-35,16/09/2010,12:22:00,-11.7024,51.454,12:27:00,-11.7015,51.455,137.71,1.26,173.19,680.2915,0,16.6,16.6,83,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,14.85,0,0,0,0,0,0,0,0,0,0,2,14.85
Belgica Mound,PM,8,36-40,16/09/2010,12:27:00,-11.7015,51.455,12:32:00,-11.7004,51.456,158.1,1.38,217.59,677.474,0,0,0,100,NA,NA,3,0.46,0,0,0,1,0.74,0,0,0,0,1,13.16,0,0,0,0,0,0,0,0,0,0,5,14.36
Belgica Mound,PM,8,41-45,16/09/2010,12:32:00,-11.7004,51.456,12:37:00,-11.6994,51.4569,134.89,2.43,328.39,679.5165,0,0,0,100,NA,NA,0,0,0,0,0,0,0,0,0,1,0.16,1,6.47,0,0,0,0,0,0,0,0,0,0,2,6.63
Belgica Mound,PM,8,46-50,16/09/2010,12:37:00,-11.6994,51.4569,12:42:00,-11.6982,51.4582,172.06,2.71,466.81,680.0725,0,0,0,100,NA,NA,4,0.44,0,0,0,0,0,1,0.46,1,0.34,0,0,0,0,0,0,0,0,1,1.29,0,0,7,2.51
Belgica Mound,PM,8,51-55,16/09/2010,12:42:00,-11.6982,51.4582,12:47:00,-11.6969,51.4594,163.63,2.43,398.39,683.169,0,0,0,100,NA,NA,2,0.18,0,0,0,0,0,0,0,0,0,0,0,1,1.71,0,0,0,0,0,0,0,0,3,1.89
Belgica Mound,PM,8,56-60,16/09/2010,12:47:00,-11.6969,51.4594,12:52:00,-11.6957,51.4606,163.63,2.67,437.66,688.106,0,0,0,100,NA,NA,4,0.45,0,0,0,0,0,0,0,1,0.27,0,0,0,0,0,0,0,0,0,0,0,0,5,0.72
Belgica Mound,PM,8,61-65,16/09/2010,12:52:00,-11.6957,51.4606,12:57:00,-11.6944,51.4616,154.55,2.11,326.11,702.975,0,0,0,100,NA,NA,5,0.79,0,0,0,0,0,0,0,1,0.26,0,0,0,0,0,0,0,0,0,0,0,0,6,1.05
